timestamp,open,high,low,close
1742391000000,562.806,563.046,562.476,562.797
1742391060000,562.806,562.927,562.327,562.396
1742391120000,562.356,562.947,562.306,562.817
1742391180000,562.816,563.207,562.636,563.066
1742391240000,563.056,563.057,562.466,562.567
1742391300000,562.557,562.766,562.526,562.547
1742391360000,562.557,562.676,562.116,562.446
1742391420000,562.446,562.457,562.136,562.237
1742391480000,562.247,562.757,562.156,562.726
1742391540000,562.736,562.897,562.497,562.726
1742391600000,562.737,562.887,562.476,562.596
1742391660000,562.596,562.646,562.216,562.297
1742391720000,562.307,562.317,561.706,561.846
1742391780000,561.836,561.917,561.636,561.797
1742391840000,561.787,561.957,561.606,561.886
1742391900000,561.887,562.306,561.836,562.087
1742391960000,562.106,563.057,562.087,562.977
1742392020000,562.987,563.327,562.906,563.256
1742392080000,563.237,563.517,563.136,563.167
1742392140000,563.166,563.276,563.027,563.206
1742392200000,563.226,563.406,563.126,563.127
1742392260000,563.126,563.297,563.027,563.296
1742392320000,563.287,563.526,563.086,563.437
1742392380000,563.467,563.807,563.446,563.707
1742392440000,563.716,564.316,563.696,564.187
1742392500000,564.206,564.326,564.087,564.246
1742392560000,564.267,564.397,564.236,564.347
1742392620000,564.357,564.407,564.146,564.266
1742392680000,564.256,564.297,563.956,564.097
1742392740000,564.106,564.176,563.876,563.937
1742392800000,563.927,564.257,563.926,564.156
1742392860000,564.176,564.487,564.106,564.436
1742392920000,564.436,564.546,564.366,564.406
1742392980000,564.397,564.526,564.346,564.427
1742393040000,564.426,564.657,564.416,564.517
1742393100000,564.517,564.787,564.456,564.646
1742393160000,564.647,564.917,564.627,564.916
1742393220000,564.917,565.216,564.917,565.046
1742393280000,565.047,565.047,564.687,564.906
1742393340000,564.907,565.346,564.876,565.256
1742393400000,565.246,565.286,565.066,565.126
1742393460000,565.127,565.187,564.817,565.136
1742393520000,565.147,565.197,564.756,564.787
1742393580000,564.797,565.017,564.707,564.726
1742393640000,564.736,564.887,564.566,564.876
1742393700000,564.866,564.997,564.796,564.926
1742393760000,564.956,565.057,564.596,564.797
1742393820000,564.816,564.897,564.606,564.766
1742393880000,564.776,564.916,564.666,564.717
1742393940000,564.716,565.067,564.626,565.056
1742394000000,565.067,565.187,564.896,565.107
1742394060000,565.096,565.147,564.786,564.917
1742394120000,564.896,565.047,564.767,564.956
1742394180000,564.966,565.096,564.906,564.987
1742394240000,564.977,565.007,564.846,564.887
1742394300000,564.896,564.967,564.666,564.937
1742394360000,564.927,565.027,564.636,564.787
1742394420000,564.766,564.806,564.516,564.696
1742394480000,564.717,564.746,564.526,564.676
1742394540000,564.686,564.797,564.386,564.467
1742394600000,564.457,564.656,564.287,564.557
1742394660000,564.567,564.786,564.517,564.566
1742394720000,564.576,564.837,564.486,564.717
1742394780000,564.707,564.767,564.536,564.707
1742394840000,564.717,564.737,564.476,564.577
1742394900000,564.587,564.766,564.316,564.416
1742394960000,564.436,564.607,564.356,564.526
1742395020000,564.537,564.677,564.436,564.587
1742395080000,564.577,564.736,564.367,564.387
1742395140000,564.387,564.486,564.276,564.386
1742395200000,564.387,564.537,564.346,564.366
1742395260000,564.377,564.496,564.066,564.087
1742395320000,564.086,564.226,563.876,564.037
1742395380000,564.036,564.146,563.836,564.046
1742395440000,564.047,564.057,563.707,563.937
1742395500000,563.936,563.956,563.726,563.866
1742395560000,563.847,563.847,563.557,563.747
1742395620000,563.747,563.987,563.676,563.967
1742395680000,563.977,564.147,563.826,563.997
1742395740000,563.996,564.187,563.936,564.087
1742395800000,564.107,564.117,563.846,563.987
1742395860000,563.977,564.017,563.866,563.907
1742395920000,563.916,563.916,563.486,563.667
1742395980000,563.667,563.717,563.536,563.537
1742396040000,563.556,563.697,563.397,563.526
1742396100000,563.536,563.577,563.336,563.436
1742396160000,563.436,563.566,563.286,563.516
1742396220000,563.516,563.756,563.496,563.686
1742396280000,563.677,563.767,563.597,563.667
1742396340000,563.657,563.657,563.337,563.466
1742396400000,563.486,563.617,563.326,563.596
1742396460000,563.587,563.847,563.547,563.826
1742396520000,563.817,563.936,563.736,563.887
1742396580000,563.866,563.917,563.796,563.896
1742396640000,563.897,563.966,563.817,563.887
1742396700000,563.886,563.977,563.767,563.887
1742396760000,563.857,564.106,563.796,564.097
1742396820000,564.106,564.246,564.046,564.226
1742396880000,564.236,564.347,564.096,564.247
1742396940000,564.237,564.547,564.226,564.526
1742397000000,564.516,564.597,564.436,564.497
1742397060000,564.487,564.727,564.487,564.646
1742397120000,564.647,564.736,564.436,564.467
1742397180000,564.466,564.637,564.427,564.516
1742397240000,564.527,564.687,564.517,564.576
1742397300000,564.586,564.656,564.506,564.526
1742397360000,564.537,564.537,564.186,564.276
1742397420000,564.237,564.237,563.886,563.916
1742397480000,563.927,563.947,563.766,563.866
1742397540000,563.856,563.856,563.696,563.726
1742397600000,563.716,563.946,563.557,563.927
1742397660000,563.937,564.356,563.926,564.317
1742397720000,564.316,564.566,564.286,564.487
1742397780000,564.467,564.577,564.396,564.407
1742397840000,564.436,564.467,564.307,564.316
1742397900000,564.316,564.487,564.096,564.477
1742397960000,564.476,564.747,564.476,564.566
1742398020000,564.547,564.637,564.466,564.516
1742398080000,564.497,564.537,564.336,564.457
1742398140000,564.457,564.607,564.376,564.567
1742398200000,564.566,564.657,564.416,564.427
1742398260000,564.416,564.586,564.327,564.576
1742398320000,564.587,564.806,564.587,564.676
1742398380000,564.677,564.887,564.666,564.846
1742398440000,564.877,564.917,564.697,564.746
1742398500000,564.757,564.806,564.596,564.596
1742398560000,564.587,564.697,564.567,564.626
1742398620000,564.626,564.737,564.566,564.637
1742398680000,564.626,564.936,564.616,564.917
1742398740000,564.927,564.996,564.766,564.847
1742398800000,564.817,564.987,564.796,564.956
1742398860000,564.967,565.017,564.906,564.977
1742398920000,564.977,565.217,564.947,565.087
1742398980000,565.096,565.157,565.056,565.087
1742399040000,565.086,565.157,565.017,565.107
1742399100000,565.116,565.227,565.016,565.207
1742399160000,565.226,565.256,564.966,565.026
1742399220000,565.037,565.197,565.026,565.077
1742399280000,565.077,565.197,565.026,565.137
1742399340000,565.137,565.447,565.126,565.426
1742399400000,565.437,565.786,565.426,565.746
1742399460000,565.756,565.887,565.656,565.726
1742399520000,565.727,566.047,565.706,566.006
1742399580000,566.006,566.137,565.976,566.056
1742399640000,566.067,566.277,565.966,565.997
1742399700000,565.997,566.027,565.787,565.906
1742399760000,565.916,566.047,565.836,565.886
1742399820000,565.886,565.907,565.616,565.767
1742399880000,565.777,565.777,565.497,565.607
1742399940000,565.596,565.777,565.546,565.757
1742400000000,565.766,565.937,565.626,565.626
1742400060000,565.616,565.726,565.576,565.676
1742400120000,565.686,565.866,565.656,565.747
1742400180000,565.737,565.836,565.716,565.757
